claim_id	target	verification_issue	support_level
SOC-C001	Captured conversation scope and completeness	127	integrity
SOC-C002	User, assistant, draft and correction attribution	127	integrity
SOC-C003	Attachment bytes, page counts and extraction accuracy	127	integrity
SOC-C004	Document dates versus delivery and receipt dates	127	integrity
SOC-C005	Recipient copies versus independent sources	127	integrity
SOC-C006	Laboratory quotations versus original dated reports	127	integrity
SOC-C007	Contemporaneous notes actually located and their content	127	integrity
SOC-C008	Historical chat citation tokens and source resolution	127	integrity
SOC-C009	Available and missing source scope	127	integrity
SOC-C010	Customary practice	128	primary-source
SOC-C011	Evaluative criterion or model	128	primary-source
SOC-C012	Minimum acceptable performance	128	primary-source
SOC-C013	Professional standard of care	128	primary-source
SOC-C014	Specialist comparator and actual circumstances	128	primary-source
SOC-C015	Internal procedure and resource constraint	128	primary-source
SOC-C016	Binding law versus ethical guidance	128	primary-source
SOC-C017	Gold-standard benchmark	128	primary-source
SOC-C018	Uniform method versus effective participation	128	primary-source
SOC-C019	Standard English and credibility	128	primary-source
SOC-C020	Measurement traceability and fitness for purpose	128	primary-source
SOC-C021	Civil, clear-and-convincing and criminal proof thresholds	128	primary-source
SOC-C022	Double-standard definition and application	128	primary-source
SOC-C023	Standard of living, value and efficiency usages	128	primary-source
SOC-C024	Banner, structural support and musical-standard senses	128	primary-source
SOC-C025	Reported ability to stand despite severe pain	129	attribution
SOC-C026	Endurance, repeatability, recovery and assistance versus brief movement	129	substantial
SOC-C027	Pain-form marking and the patient's explanation	129	attribution
SOC-C028	Actual psychiatric inference from the marking and its basis	129	substantial
SOC-C029	Diagnosed condition versus a new explanatory inference	129	substantial
SOC-C030	Longitudinal function dates, coverage, devices and computations	129	substantial
SOC-C031	Clinic and ordinary-life samples and their conditions	129	substantial
SOC-C032	Relief and investigation questions unresolved in the available record	129	substantial
SOC-C033	Chronic outpatient versus acute inpatient clot prevention	130	substantial
SOC-C034	Anticoagulant indications and risks	130	substantial
SOC-C035	Mechanical compression indications and contraindications	130	substantial
SOC-C036	Individualized repositioning versus a fixed two-hour rule	130	substantial
SOC-C037	Pressure-redistributing foam versus universally mandated dynamic surfaces	130	substantial
SOC-C038	Skin, shear, heel protection and assistance	130	substantial
SOC-C039	Range-of-motion and rehabilitation frequency and safety	130	substantial
SOC-C040	Pain assessment and relief as conditions of tolerable prevention	130	substantial
SOC-C041	Trauma treatment versus trauma-informed conduct of care	131	primary-source
SOC-C042	Named PTSD psychotherapy evidence and terminology	131	primary-source
SOC-C043	Physical disability and proposed replacement with Somatic Experiencing	131	substantial
SOC-C044	Pacing, fatigue and treatment-burden evidence	131	primary-source
SOC-C045	Predictability, explanation, pause signals and grounding	131	primary-source
SOC-C046	Palliative care, hospice, primary palliative work and specialist teams	131	primary-source
SOC-C047	Whether a named organizational model is universally mandated	131	substantial
SOC-C048	Home or telehealth suitability versus expressed preferences	131	primary-source
SOC-C049	Dual-purpose rationale versus demonstrated symptom benefit	132	substantial
SOC-C050	Duloxetine indications and rigid muscle tone	132	substantial
SOC-C051	Dopamine-blocking risks in the relevant movement disorder	132	substantial
SOC-C052	Pimavanserin approved indication and limits	132	substantial
SOC-C053	Quetiapine evidence and risks in the relevant setting	132	substantial
SOC-C054	Benzodiazepines for PTSD versus other neurological indications	132	substantial
SOC-C055	Sedation, respiratory, swallowing and interaction risks	132	substantial
SOC-C056	Medication reconciliation, response review and follow-up responsibility	132	substantial
SOC-C057	Correct gene symbol versus a different similarly named transporter	133	substantial
SOC-C058	Exact transcript, variant notation, zygosity and report date	133	substantial
SOC-C059	Reported neurological variant classification and interpretation	133	substantial
SOC-C060	Uncertain variant status and what it does not diagnose	133	substantial
SOC-C061	Separate mitochondrial finding and measured tissue fraction	133	substantial
SOC-C062	Variant pathogenicity versus expression and symptom causation	133	substantial
SOC-C063	Gene-level renal association versus a particular variant	133	substantial
SOC-C064	Counseling, correlation and further-testing recommendations in reports	133	primary-source
SOC-C065	Actual receipt, review, referral and follow-up	133	substantial
SOC-C066	Current reclassification, reanalysis policy and any actual update	133	primary-source
SOC-C067	Whether a proposed named metabolic protocol is an established guideline	134	substantial
SOC-C068	Evidence for the proposed ATP and ion-transport causal chain	134	substantial
SOC-C069	Drug-specific precautions versus a universal mitochondrial toxin list	134	substantial
SOC-C070	Condition-specific valproate restrictions	134	substantial
SOC-C071	Coenzyme Q10 evidence and recommendations	134	substantial
SOC-C072	Carnitine indications and deficiency assessment	134	substantial
SOC-C073	Serum, ionized and intracellular magnesium measures and limitations	134	substantial
SOC-C074	Whether evidence mandates a particular assay or supplement regimen	134	substantial
SOC-C075	Reported joint laxity versus a diagnosed connective-tissue disorder	135	substantial
SOC-C076	Instability, subluxation and tissue-fragility claims	135	substantial
SOC-C077	Handling, transfer and neutral-support recommendations	135	substantial
SOC-C078	Device-specific indications and risks	135	substantial
SOC-C079	Passive zero-resistance rule versus individualized stabilization	135	substantial
SOC-C080	Claimed relation between hypermobility, bone calcium and stones	135	substantial
SOC-C081	Actual stone counts, procedures and composition	136	substantial
SOC-C082	Serum and urine tests and renal tubular diagnoses	136	substantial
SOC-C083	Formation versus passage, bleeding and other pain	136	substantial
SOC-C084	Urine-volume targets versus color as a proxy	136	substantial
SOC-C085	Fluid advice with swallowing, renal and other constraints	136	substantial
SOC-C086	Stone-specific pH and over-alkalinization	136	substantial
